"lang"
{
    "Language"    "english"
        "DOTA_Tooltip_Ability_q_arcane_cage_damage_sent_to_templar"    "%REDIRECTED DAMAGE:"
        "DOTA_Tooltip_Ability_q_arcane_cage_outgoing_damage_bonus"    "%BONUS DAMAGE:"
        "DOTA_Tooltip_Ability_q_arcane_cage_mana_regen"    "MANA REGENERATION:"
        "DOTA_Tooltip_Ability_e_sigil_of_power"    "Discharge"
        "DOTA_Tooltip_Ability_e_sigil_of_power_description"    "Templar unleashes his inner spirit in an explosion around him, dealing damage to all enemies and consuming all power charges. Additionally, all allies around templar gain bonus damage."
        "DOTA_Tooltip_Ability_e_sigil_of_power_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_e_sigil_of_power_damage_boost_per_power_charge_consumed"    "%BONUS DAMAGE PER POWER CHARGE:"
        "DOTA_Tooltip_Ability_e_sigil_of_power_damage"    "DAMAGE PER POWER CHARGE:"
        "DOTA_Tooltip_Ability_r_arcane_surge"    "Manastorm"
        "DOTA_Tooltip_Ability_r_arcane_surge_description"    "Templar invokes a storm of arcane energy around him, dealing damage to the closest enemy, stacking up to three times. Each stack of <b><font color=\"#ffffff\">Manastorm</font></b> increases the damage and strike interval."
        "DOTA_Tooltip_Ability_r_arcane_surge_Note0"    "Each stack of Manastorm has an independant cooldown, and does not refresh with additional uses."
        "DOTA_Tooltip_Ability_r_arcane_surge_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_r_arcane_surge_damage"    "BASE DAMAGE:"
        "DOTA_Tooltip_Ability_r_arcane_surge_stack_bonus_interval"    "%BONUS STRIKE INTERVAL:"
        "DOTA_Tooltip_Ability_r_arcane_surge_stack_bonus_damage"    "BONUS DAMAGE:"
        "DOTA_Tooltip_Ability_space_evocate"    "Lifetap"
        "DOTA_Tooltip_Ability_space_evocate_description"    "Templar sacrifices his own life to fully restore his mana."
        "DOTA_Tooltip_Ability_space_evocate_Note0"    "Lifetap cannot be used under 150 health."
        "DOTA_Tooltip_Ability_space_evocate_damage_self"    "SELF DAMAGE:"
        "DOTA_Tooltip_Ability_m1_sword_slash"    "Sweeping Blade"
        "DOTA_Tooltip_Ability_m1_sword_slash_description"    "Blademaster performs a wide sweeping cut to deal damage to all enemies infront of him."
        "DOTA_Tooltip_Ability_m1_sword_slash_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m1_sword_slash_mana_gain_percent_bonus"    "%ENERGY GAIN:"
        "DOTA_Tooltip_Ability_m1_sword_slash_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m2_sword_slam"    "Sunder"
        "DOTA_Tooltip_Ability_m2_sword_slam_description"    "Blademaster slams down his sword, dealing damage based on his total energy to all enemies infront of him. Hitting an enemy with <b><font color=\"#ffffff\">Crushing Blow</font></b> grants a stack of <b><font color=\"#6f92fc\">Blade Mastery</font></b>, up to three times."
        "DOTA_Tooltip_Ability_m2_sword_slam_damage"    "DAMAGE:"
        "DOTA_Tooltip_Ability_m2_sword_slam_mana_gain_percent_bonus"    "%ENERGY GAIN:"
        "DOTA_Tooltip_Ability_m2_sword_slam_AbilityCastPoint"    "CAST POINT:"
        "DOTA_Tooltip_Ability_m2_sword_slam_dmg_per_mana_point"    "DAMAGE PER ENERGY:"
        "DOTA_Tooltip_Ability_m2_sword_slam_dps_stance_m2_stack_duration"    "BUFF DURATION:"
        "DOTA_Tooltip_Ability_m2_sword_slam_dmg_per_debuff_stack"    "BLADE MASTERY DAMAGE:"
        "DOTA_Tooltip_Ability_q_conq_shout"    "Inspire"
        "DOTA_Tooltip_Ability_q_conq_shout_description"    "Blademaster inspires his allies near him and his <b><font color=\"#ffffff\">Blade Vortex</font></b>, increasing their damage. <b><font color=\"#ffffff\">Inspire</font></b> also generates one stack of <b><font color=\"#6f92fc\">Fighting Spirit</font></b>."
        "DOTA_Tooltip_Ability_q_conq_shout_Note0"    "Fighting Spirit regenerates 5 health per second and 2 energy per second."
        "DOTA_Tooltip_Ability_q_conq_shout_Note1"    "Fighting Spirit can stack up to three times."
        "DOTA_Tooltip_Ability_q_conq_shout_vortex_dmg_inc"    "DAMAGE:"
        "DOTA_Tooltip_Ability_q_conq_shout_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_e_warlord_shout"    "Barricade"
        "DOTA_Tooltip_Ability_e_warlord_shout_description"    "Blademaster defends his allies near him and his <b><font color=\"#ffffff\">Blade Vortex</font></b>, granting them a shield. <b><font color=\"#ffffff\">Barricade</font></b> also generates one stack of <b><font color=\"#6f92fc\">Fighting Spirit</font></b>."
        "DOTA_Tooltip_Ability_e_warlord_shout_Note0"    "Fighting Spirit regenerates 5 health per second and 2 energy per second."
        "DOTA_Tooltip_Ability_e_warlord_shout_Note1"    "Fighting Spirit can stack up to three times."
        "DOTA_Tooltip_Ability_e_warlord_shout_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_e_warlord_shout_bubble_amount"    "SHIELD:"
        "DOTA_Tooltip_Ability_r_blade_vortex"    "Blade Vortex"
        "DOTA_Tooltip_Ability_r_blade_vortex_description"    "Blademaster conjures whirling blades that chases the target, dealing damage and granting him energy over time until it expires."
        "DOTA_Tooltip_Ability_r_blade_vortex_duration"    "DURATION:"
        "DOTA_Tooltip_Ability_r_blade_vortex_base_dmg"    "DAMAGE:"
        "DOTA_Tooltip_Ability_r_blade_vortex_mana_gain_percent_bonus"    "%ENERGY GAIN:"
        "DOTA_Tooltip_Ability_space_chain_hook"    "Chain Hook"
        "DOTA_Tooltip_Ability_space_chain_hook_description"    "Blademaster throws a hook out that attaches to an friendly or enemy target, pulling himself towards it."
        "DOTA_Tooltip_Ability_space_chain_hook_Note0"    "Blademaster is not invulnerable during the movement."
        "DOTA_Tooltip_Ability_space_chain_hook_Note1"    "Friendly and enemy targets include structures or summons."
        "DOTA_Tooltip_Ability_item_rock"    "Green Cube"
        "DOTA_Tooltip_Ability_item_rock_description"    "A green cube... pick it up and throw it."
        "DOTA_Tooltip_Ability_item_water_gun"    "Water Gun"
        "DOTA_Tooltip_Ability_item_water_gun_description"    "Who left this water gun here..."
        "DOTA_Tooltip_Ability_item_water_gun_Note0"    "Shooting the water gun will remove oil and fire."
        "DOTA_Tooltip_Ability_item_water_gun_Note1"    "Charges slowly replenish overtime."
        "DOTA_Tooltip_Ability_item_water_gun_Note2"    "Cleaning fire and oil grants you a stacking outgoing damage buff."
        "DOTA_Tooltip_modifier_grace_period"    "Grace Period"
        "DOTA_Tooltip_modifier_grace_period_description"    "You've just respawned, you're invulnerable."
        "DOTA_Tooltip_modifier_generic_stunned"    "Stunned"
        "DOTA_Tooltip_modifier_greater_power"    "Greater Power"
        "DOTA_Tooltip_modifier_greater_power_description"    "Increases your base damage by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% and your move speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
        "DOTA_Tooltip_beastmaster_mark_modifier"    "Mark"
        "DOTA_Tooltip_beastmaster_mark_modifier_description"    "You're being hunted."
        "DOTA_Tooltip_puddle_slow_modifier"    "Slow"
        "DOTA_Tooltip_puddle_slow_modifier_description"    "You're being slowed by some sticky goo."
        "DOTA_Tooltip_modifier_beastmaster_net"    "Net"
        "DOTA_Tooltip_modifier_beastmaster_net_description"    "You're trapped."
        "DOTA_Tooltip_modifier_sticky_bomb"    "Sticky Bomb"
        "DOTA_Tooltip_modifier_sticky_bomb_description"    "This bomb splits damage with all surrounding players."
        "DOTA_Tooltip_modifier_electric_vortex"    "Stasis pull"
        "DOTA_Tooltip_modifier_electric_vortex_description"    "Pulls target towards the stasis trap."
        "DOTA_Tooltip_blast_off_fog_modifier"    "Blast off smoke"
        "DOTA_Tooltip_blast_off_fog_modifier_description"    "Vision reduced from blast off smoke."
        "DOTA_Tooltip_generic_cube_bomb_modifier"    "Deadly looking cube"
        "DOTA_Tooltip_generic_cube_bomb_modifier_description"    "Quick find the diffuse location."
        "DOTA_Tooltip_shatter_modifier"    "Shatter"
        "DOTA_Tooltip_shatter_modifier_description"    "Current number of Shatter stacks."
        "DOTA_Tooltip_bonechill_modifier"    "Bonechill"
        "DOTA_Tooltip_bonechill_modifier_description"    "Regenerates %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% per second."
        "DOTA_Tooltip_q_iceblock_modifier"    "Ice Block"
        "DOTA_Tooltip_q_iceblock_modifier_description"    "Regenerates %dMODIFIER_PROPERTY_HEALTH_REGEN_PERCENTAGE%%% of max health per second."
        "DOTA_Tooltip_e_regen_aura_buff"    "Divine Light"
        "DOTA_Tooltip_e_regen_aura_buff_description"    "Regenerates %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health per second."
        "DOTA_Tooltip_q_armor_aura_buff"    "Bolster"
        "DOTA_Tooltip_q_armor_aura_buff_description"    "Armour increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
        "DOTA_Tooltip_r_outgoing_dmg_buff"    "Divine Purge"
        "DOTA_Tooltip_r_outgoing_dmg_buff_description"    "Damage increased by %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%."
        "DOTA_Tooltip_m2_qop_stacks"    "Blood Magic"
        "DOTA_Tooltip_m2_qop_stacks_description"    "Blood Light manacost doubles per stack."
        "DOTA_Tooltip_e_qop_shield_modifier"    "Blood Ward"
        "DOTA_Tooltip_e_qop_shield_modifier_description"    "Absorbs incoming damage."
        "DOTA_Tooltip_ally_buff_heal"    "Blood Pact"
        "DOTA_Tooltip_ally_buff_heal_description"    "Recieving healing based on Akasha's damage."
        "DOTA_Tooltip_modifier_sprint"    "Sprint"
        "DOTA_Tooltip_modifier_sprint_description"    "Increased movespeed."
        "DOTA_Tooltip_e_whirling_winds_modifier"    "Tailwind"
        "DOTA_Tooltip_e_whirling_winds_modifier_description"    "Increased damage, movement and projectile speed. Cast points reduced."
        "DOTA_Tooltip_burrow_modifier"    "Burrow"
        "DOTA_Tooltip_burrow_modifier_description"    "Undersground invul generate stacks."
        "DOTA_Tooltip_rat_stacks"    "Rat stack"
        "DOTA_Tooltip_rat_stacks_description"    "Castpoints redcued."
        "DOTA_Tooltip_stim_pack_buff"    "Juiced"
        "DOTA_Tooltip_stim_pack_buff_description"    "can move and shoot."
        "DOTA_Tooltip_stim_pack_debuff"    "Withdrawl"
        "DOTA_Tooltip_stim_pack_debuff_description"    "slowed."
        "DOTA_Tooltip_q_smoke_bomb_modifier"    "Evasive"
        "DOTA_Tooltip_q_smoke_bomb_modifier_description"    "Increased movement speed and invulnerability."
        "DOTA_Tooltip_m2_energy_buff"    "Adrenaline"
        "DOTA_Tooltip_m2_energy_buff_description"    "Regenerates %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% energy per second."
        "DOTA_Tooltip_space_shadowstep_caster_modifier"    "Shadow Dagger"
        "DOTA_Tooltip_space_shadowstep_caster_modifier_description"    "Shadowstep."
        "DOTA_Tooltip_e_sigil_of_power_modifier_buff"    "Discharged"
        "DOTA_Tooltip_e_sigil_of_power_modifier_buff_description"    "Gaining amplified damage."
        "DOTA_Tooltip_q_arcane_cage_modifier_templar"    "Energised"
        "DOTA_Tooltip_q_arcane_cage_modifier_templar_description"    "Gaining amplified damage and regenerating %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana per second."
        "DOTA_Tooltip_q_arcane_cage_modifier"    "Energised"
        "DOTA_Tooltip_q_arcane_cage_modifier_description"    "Gaining amplified damage."
        "DOTA_Tooltip_templar_power_charge"    "Power Charge"
        "DOTA_Tooltip_templar_power_charge_description"    "Regenerating %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana per second."
        "DOTA_Tooltip_arcane_surge_modifier"    "Surge"
        "DOTA_Tooltip_arcane_surge_modifier_description"    "Dealing damage around templar."
        "DOTA_Tooltip_m2_sword_slam_debuff"    "Blade Mastery"
        "DOTA_Tooltip_m2_sword_slam_debuff_description"    "The damage of Sword Slam is increased."
        "DOTA_Tooltip_warlord_modifier_shouts"    "Fighting Spirit"
        "DOTA_Tooltip_warlord_modifier_shouts_description"    "Regenerates %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana per second and %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health per second."
        "DOTA_Tooltip_e_warlord_shout_modifier"    "Endurance"
        "DOTA_Tooltip_e_warlord_shout_modifier_description"    "Absorbs incoming damage."
        "DOTA_Tooltip_q_conq_shout_modifier"    "Conquerer Shout"
        "DOTA_Tooltip_q_conq_shout_modifier_description"    "Your vortex is generating you energy and have increased damage."
        "DOTA_Tooltip_water_gun_dmg_buff"    "Living water."
        "DOTA_Tooltip_water_gun_dmg_buff_description"    "All of your outgoing damage is increased by %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%."
        "DOTA_Tooltip_water_gun_dmg_debuff"    "Your water gun has overheated"
        "DOTA_Tooltip_water_gun_dmg_debuff_description"    "You're on fire."
    }
}
